id,tag_id,short_label,description,tag_category,abstract,formula,name,sort_order,is_total_row,all_sight_name,tag_group
42,3998,Total Equity,Total Equity,equity,TRUE,equity_share_capital + equity_minority_position + equity_liab_portion + equity_retained_earnings,equity_total,42,TRUE,TotalEquity,abstract
43,3999,Total Liabilities & Equity,Total Liabilities & Equity,total_liabilities_equity,TRUE,equity_total + liab_total,equity_liab_total,43,TRUE,TotalLiabilityAndEquity,abstract
44,7000,Change in Depreciation & Amortization,Change in Depreciation & Amortization,cashflow,TRUE,#N/A,cf_depreciation,44,FALSE,ChangeinDepreciationAndAmortization,abstract
45,7010,Change in Accounts Receivable,Change in Accounts Receivable,cashflow,TRUE,#N/A,cf_change_ar,45,FALSE,ChangeinAccountsReceivable,abstract
46,7020,Change in SRED Receivable,Change in SRED Receivable,cashflow,TRUE,#N/A,cf_change_sred,46,FALSE,ChangeinSREDReceivable,abstract
47,7030,Change in Accounts Payable,Change in Accounts Payable,cashflow,TRUE,#N/A,cf_change_ap,47,FALSE,ChangeinAccountsPayable,abstract
48,7040,Change in Deferred Revenue,Change in Deferred Revenue,cashflow,TRUE,#N/A,cf_change_deferred_rev,48,FALSE,ChangeinDeferredRevenue,abstract
49,7050,Change in Interest Accrual,Change in Interest Accrual,cashflow,TRUE,#N/A,cf_interest_accrual,49,FALSE,ChangeinInterestAccrual,abstract
50,7060,Change in Other Working Capital,Change in Other Working Capital,cashflow,TRUE,#N/A,cf_change_other_wc,50,FALSE,ChangeinOtherWorkingCapital,abstract
51,7069,Cash Flow from Operations,Cash Flow from Operations,cashflow,TRUE,#N/A,cf_cash_from_operations,51,FALSE,CashFlowfromOperations,abstract
52,7070,Change in Fixed Assets,Change in Fixed Assets,cashflow,TRUE,#N/A,cf_change_fixedassets,52,FALSE,ChangeinFixedAssets,abstract
53,7079,Cash Flow from Investments,Cash Flow from Investments,cashflow,TRUE,#N/A,cf_cash_from_investing,53,FALSE,CashFlowfromInvestments,abstract
54,7080,Change in Espresso Liability,Change in Espresso Liability,cashflow,TRUE,#N/A,cf_change_espresso,54,FALSE,ChangeinEspressoLiability,abstract
55,7090,Change in Senior Debt,Change in Senior Debt,cashflow,TRUE,#N/A,cf_change_senior_debt,55,FALSE,ChangeinSeniorDebt,abstract
56,7100,Change in Subordinate Debt,Change in Subordinate Debt,cashflow,TRUE,#N/A,cf_change_subdebt,56,FALSE,ChangeinSubordinateDebt,abstract
57,7110,Change in Bank Debt,Change in Bank Debt,cashflow,TRUE,#N/A,cf_change_bank_debt,57,FALSE,ChangeinBankDebt,abstract
58,7120,Change in Shareholder Loans,Change in Shareholder Loans,cashflow,TRUE,#N/A,cf_change_shareholder_loans,58,FALSE,ChangeinShareholderLoans,abstract
59,7130,Change in Other Debt,Change in Other Debt,cashflow,TRUE,#N/A,cf_change_other_debt,59,FALSE,ChangeinOtherDebt,abstract
60,7140,Change in Equity,Change in Equity,cashflow,TRUE,#N/A,cf_change_equity,60,FALSE,ChangeinEquity,abstract
61,7150,Change in Other Financing Items,Change in Other Financing Items,cashflow,TRUE,#N/A,cf_change_other_fin,61,FALSE,ChangeinOtherFinancingItems,abstract
62,7200,Cash Flow from Financing,Cash Flow from Financing,cashflow,TRUE,#N/A,cf_cash_from_financing,62,FALSE,CashFlowfromFinancing,abstract
63,7999,Change in Cash for Period,Change in Cash for Period,cashflow,TRUE,#N/A,cf_change_in_cash,63,FALSE,ChangeinCashforPeriod,abstract
